time,showId,movieId,date,theaterId,price,auditorium
8:00p,496932881,238655,2025-05-23,AADQG,21.55,16
11:35p,496932885,238655,2025-05-23,AADQG,21.55,16
10:00a,496932879,238655,2025-05-23,AADQG,12.39,6
11:00a,496932888,238655,2025-05-23,AADQG,12.39,17
2:00p,496932878,238655,2025-05-23,AADQG,12.39,6
3:00p,496932887,238655,2025-05-23,AADQG,12.39,17
6:00p,496932877,238655,2025-05-23,AADQG,16.40,6
7:00p,496932886,238655,2025-05-23,AADQG,16.40,17
8:00p,496937966,238655,2025-05-23,AADQG,16.40,10
10:00p,496932880,238655,2025-05-23,AADQG,22.07,15
7:20p,493223851,239571,2025-05-23,AADQG,14.86,20
1:20p,493223852,239571,2025-05-23,AADQG,11.25,20
7:50p,497817462,239402,2025-05-23,AADQG,16.40,19
10:50p,497817463,239402,2025-05-23,AADQG,16.40,19
7:30p,499306860,240545,2025-05-23,AADQG,14.86,21
10:30a,497967253,238603,2025-05-23,AARCD,12.09,11
1:15p,497967252,238603,2025-05-23,AARCD,12.09,11
4:00p,497967249,238603,2025-05-23,AARCD,14.99,11
6:45p,497967250,238603,2025-05-23,AARCD,14.99,11
9:30p,497967251,238603,2025-05-23,AARCD,14.99,11
11:15a,497967243,238655,2025-05-23,AARCD, 8.59,1
9:30a,497967245,238655,2025-05-23,AARCD, 8.59,2
12:15p,497967244,238655,2025-05-23,AARCD, 8.59,2
2:00p,497967239,238655,2025-05-23,AARCD, 8.59,1
3:00p,497967246,238655,2025-05-23,AARCD, 8.59,2
4:45p,497967240,238655,2025-05-23,AARCD,11.49,1
5:45p,497967247,238655,2025-05-23,AARCD,11.49,2
7:30p,497967241,238655,2025-05-23,AARCD,11.49,1
8:30p,497967248,238655,2025-05-23,AARCD,11.49,2
10:15p,497967242,238655,2025-05-23,AARCD,11.49,1
11:00a,497957634,238603,2025-05-23,AALSE, 8.19,5
1:45p,497957635,238603,2025-05-23,AALSE, 8.19,5
4:30p,497957636,238603,2025-05-23,AALSE, 9.99,5
7:15p,497957637,238603,2025-05-23,AALSE, 9.99,5
11:45a,497957640,238603,2025-05-23,AALSE, 5.19,6
2:30p,497957641,238603,2025-05-23,AALSE, 5.19,6
5:15p,497957639,238603,2025-05-23,AALSE, 6.99,6
8:00p,497957638,238603,2025-05-23,AALSE, 6.99,6
11:00a,497003975,238655,2025-05-23,AALSE, 5.19,8
12:00p,497003972,238655,2025-05-23,AALSE, 5.19,7
2:45p,497003974,238655,2025-05-23,AALSE, 5.19,8
3:45p,497003970,238655,2025-05-23,AALSE, 5.19,7
6:30p,497003973,238655,2025-05-23,AALSE, 6.99,8
7:30p,497003971,238655,2025-05-23,AALSE, 6.99,7
5:00p,498000815,239402,2025-05-23,AALSE, 6.99,1
7:45p,498000814,239402,2025-05-23,AALSE, 6.99,1
11:00a,498075100,238603,2025-05-23,AAXOA,16.21,10
2:00p,498075099,238603,2025-05-23,AAXOA,16.21,10
5:00p,498075101,238603,2025-05-23,AAXOA,20.27,10
8:00p,498075102,238603,2025-05-23,AAXOA,20.27,10
11:00p,498075103,238603,2025-05-23,AAXOA,20.27,10
12:30p,498075092,238603,2025-05-23,AAXOA,18.29,1
3:30p,498075091,238603,2025-05-23,AAXOA,18.29,1
1:00p,498075095,238603,2025-05-23,AAXOA,12.05,2
3:00p,498075096,238603,2025-05-23,AAXOA,12.05,5
4:00p,498075094,238603,2025-05-23,AAXOA,16.11,2
6:00p,498075097,238603,2025-05-23,AAXOA,16.11,5
7:00p,498075093,238603,2025-05-23,AAXOA,16.11,2
9:00p,498075098,238603,2025-05-23,AAXOA,16.11,5
11:00a,496796785,238655,2025-05-23,AAXOA,12.05,5
12:15p,496796790,238655,2025-05-23,AAXOA,12.05,12
1:30p,496796788,238655,2025-05-23,AAXOA,12.05,11
4:00p,496796789,238655,2025-05-23,AAXOA,16.11,12
5:15p,496796786,238655,2025-05-23,AAXOA,16.11,11
7:45p,496796791,238655,2025-05-23,AAXOA,16.11,12
9:00p,496796787,238655,2025-05-23,AAXOA,16.11,11
10:00p,496796784,238655,2025-05-23,AAXOA,16.11,2
8:15p,497576343,239402,2025-05-23,AAXOA,16.11,6
11:00p,497576342,239402,2025-05-23,AAXOA,16.11,6
1:00p,498089998,238603,2025-05-23,AAJGO, 8.19,3
3:45p,498089997,238603,2025-05-23,AAJGO, 8.19,3
6:20p,498089996,238603,2025-05-23,AAJGO, 9.99,3
9:20p,498090008,238603,2025-05-23,AAJGO, 9.99,10
11:00a,498090000,238603,2025-05-23,AAJGO, 5.19,7
12:00p,498090007,238603,2025-05-23,AAJGO, 5.19,8
