X,time,showId,movieId,date,theaterId,price,auditorium
63585,9:10p,499543087,239402,2025-05-16,AAEXB, 9.36,3
63586,10:10p,499543088,239402,2025-05-16,AAEXB, 9.36,2
63587,12:35p,499543081,240028,2025-05-16,AAEXB, 8.03,4
63588,2:50p,499543080,240028,2025-05-16,AAEXB, 8.03,4
63589,5:10p,499543079,240028,2025-05-16,AAEXB, 9.36,4
63590,7:30p,499543078,240028,2025-05-16,AAEXB, 9.36,4
63591,9:45p,499543077,240028,2025-05-16,AAEXB, 9.36,4
63592,12:20p,499543086,239964,2025-05-16,AAEXB, 8.03,9
63593,2:40p,499543085,239964,2025-05-16,AAEXB, 8.03,9
63594,4:55p,499543084,239964,2025-05-16,AAEXB, 9.36,9
63595,7:10p,499543083,239964,2025-05-16,AAEXB, 9.36,9
63596,9:25p,499543082,239964,2025-05-16,AAEXB, 9.36,9
63597,12:30p,499543069,237177,2025-05-16,AAEXB, 8.03,8
63598,2:00p,499543070,237177,2025-05-16,AAEXB, 8.03,5
63599,3:50p,499543067,237177,2025-05-16,AAEXB, 8.03,8
63600,4:40p,499543072,237177,2025-05-16,AAEXB, 9.36,5
63601,6:30p,499543066,237177,2025-05-16,AAEXB, 9.36,8
63602,7:20p,499543068,237177,2025-05-16,AAEXB, 9.36,5
63603,9:30p,499543071,237177,2025-05-16,AAEXB, 9.36,8
63604,10:00p,499543096,237177,2025-05-16,AAEXB, 9.36,5
63605,12:45p,499543076,239552,2025-05-16,AAEXB, 8.03,7
63606,3:30p,499543074,239552,2025-05-16,AAEXB, 8.03,7
63607,6:10p,499543073,239552,2025-05-16,AAEXB, 9.36,7
63608,9:00p,499543075,239552,2025-05-16,AAEXB, 9.36,7
63609,12:40p,499543064,237956,2025-05-16,AAEXB, 8.03,1
63610,3:30p,499543062,237956,2025-05-16,AAEXB, 8.03,1
63611,6:20p,499543063,237956,2025-05-16,AAEXB, 9.36,1
63612,9:20p,499543065,237956,2025-05-16,AAEXB, 9.36,1
63613,1:25p,499543060,216995,2025-05-16,AAEXB, 8.03,6
63614,3:40p,499543058,216995,2025-05-16,AAEXB, 8.03,6
63615,6:20p,499543059,216995,2025-05-16,AAEXB, 9.36,6
63616,8:50p,499543061,216995,2025-05-16,AAEXB, 9.36,6
63617,1:40p,499091992,239402,2025-05-16,AAUFW,11.50,6
63618,4:25p,499091993,239402,2025-05-16,AAUFW,11.50,6
63619,7:10p,499091994,239402,2025-05-16,AAUFW,11.50,6
63620,9:50p,499091995,239402,2025-05-16,AAUFW,11.50,6
63621,4:40p,499651206,239964,2025-05-16,AAUFW,11.50,4
63622,7:20p,499651207,239964,2025-05-16,AAUFW,11.50,4
63623,9:40p,499651208,239964,2025-05-16,AAUFW,11.50,4
63624,1:30p,499651198,237177,2025-05-16,AAUFW,11.50,5
63625,4:15p,499651199,237177,2025-05-16,AAUFW,11.50,5
63626,7:00p,499651200,237177,2025-05-16,AAUFW,11.50,5
63627,9:45p,499651201,237177,2025-05-16,AAUFW,11.50,5
63628,1:20p,499651194,239552,2025-05-16,AAUFW,11.50,1
63629,4:05p,499651195,239552,2025-05-16,AAUFW,11.50,1
63630,6:50p,499651196,239552,2025-05-16,AAUFW,11.50,1
63631,9:30p,499651197,239552,2025-05-16,AAUFW,11.50,1
63632,12:50p,499651202,237956,2025-05-16,AAUFW,11.50,3
63633,3:40p,499651203,237956,2025-05-16,AAUFW,11.50,3
63634,6:30p,499651204,237956,2025-05-16,AAUFW,11.50,3
63635,9:20p,499651205,237956,2025-05-16,AAUFW,11.50,3
63636,1:50p,499651266,235561,2025-05-16,AAUFW,11.50,4
63637,1:00p,499651189,216995,2025-05-16,AAUFW,11.50,2
63638,3:15p,499651190,216995,2025-05-16,AAUFW,11.50,2
63639,5:30p,499651191,216995,2025-05-16,AAUFW,11.50,2
63640,7:45p,499651192,216995,2025-05-16,AAUFW,11.50,2
63641,10:00p,499651193,216995,2025-05-16,AAUFW,11.50,2
