time,showId,movieId,date,theaterId,price,auditorium
1:10p,498201569,238603,2025-05-23,AANHA,13.61,8
3:50p,498201568,238603,2025-05-23,AANHA,13.61,8
6:40p,498201571,238603,2025-05-23,AANHA,16.88,8
9:20p,498201570,238603,2025-05-23,AANHA,16.88,8
11:20a,498201563,238603,2025-05-23,AANHA,13.07,1
2:00p,498201562,238603,2025-05-23,AANHA,13.07,1
4:40p,498201561,238603,2025-05-23,AANHA,16.34,1
7:20p,498201559,238603,2025-05-23,AANHA,16.34,1
12:00p,498201567,238603,2025-05-23,AANHA, 9.80,5
12:40p,498201575,238603,2025-05-23,AANHA, 9.80,9
2:40p,498201566,238603,2025-05-23,AANHA, 9.80,5
3:20p,498201574,238603,2025-05-23,AANHA, 9.80,9
5:20p,498201565,238603,2025-05-23,AANHA,13.07,5
6:00p,498201573,238603,2025-05-23,AANHA,13.07,9
8:00p,498201564,238603,2025-05-23,AANHA,13.07,5
8:40p,498201572,238603,2025-05-23,AANHA,13.07,9
10:40a,497028400,238655,2025-05-23,AANHA, 9.80,6
1:40p,497028403,238655,2025-05-23,AANHA, 9.80,7
2:20p,497028399,238655,2025-05-23,AANHA, 9.80,6
5:20p,497028402,238655,2025-05-23,AANHA,13.07,7
6:00p,497028397,238655,2025-05-23,AANHA,13.07,6
9:00p,497028401,238655,2025-05-23,AANHA,13.07,7
9:40p,497028398,238655,2025-05-23,AANHA,13.07,6
10:00p,500062048,238655,2025-05-23,AANHA,16.34,1
6:15p,497176747,239402,2025-05-23,AANHA,13.07,4
9:00p,497176748,239402,2025-05-23,AANHA,13.07,4
10:00a,497943559,238603,2025-05-23,AAHLN,16.71,10
11:45a,498101855,238603,2025-05-23,AAHLN,16.71,7
12:45p,497943558,238603,2025-05-23,AAHLN,16.71,10
3:30p,497943557,238603,2025-05-23,AAHLN,16.71,10
5:15p,498101852,238603,2025-05-23,AAHLN,20.89,7
6:15p,497943555,238603,2025-05-23,AAHLN,20.89,10
8:00p,498101853,238603,2025-05-23,AAHLN,20.89,7
9:00p,497943556,238603,2025-05-23,AAHLN,20.89,10
10:30a,498101859,238603,2025-05-23,AAHLN,12.31,8
12:15p,498101863,238603,2025-05-23,AAHLN,12.31,15
1:15p,498101858,238603,2025-05-23,AAHLN,12.31,8
2:00p,497943551,238603,2025-05-23,AAHLN,12.31,9
2:30p,498101854,238603,2025-05-23,AAHLN,12.31,7
3:00p,498101862,238603,2025-05-23,AAHLN,12.31,15
4:00p,498101857,238603,2025-05-23,AAHLN,16.49,8
4:45p,497943550,238603,2025-05-23,AAHLN,16.49,9
5:45p,498101864,238603,2025-05-23,AAHLN,16.49,15
6:45p,498101856,238603,2025-05-23,AAHLN,16.49,8
7:30p,497943553,238603,2025-05-23,AAHLN,16.49,9
8:30p,498101865,238603,2025-05-23,AAHLN,16.49,15
9:45p,498101861,238603,2025-05-23,AAHLN,16.49,12
10:15p,498101860,238603,2025-05-23,AAHLN,16.49,9
10:50p,497943560,238603,2025-05-23,AAHLN,16.49,11
11:15a,497943552,238603,2025-05-23,AAHLN,12.31,9
11:30a,497056680,238655,2025-05-23,AAHLN,12.31,11
12:45p,497056675,238655,2025-05-23,AAHLN,12.31,6
2:15p,497056682,238655,2025-05-23,AAHLN,12.31,12
3:15p,497056679,238655,2025-05-23,AAHLN,12.31,11
4:30p,497056676,238655,2025-05-23,AAHLN,16.49,6
6:00p,497056683,238655,2025-05-23,AAHLN,16.49,12
7:00p,497056678,238655,2025-05-23,AAHLN,16.49,11
8:15p,497056677,238655,2025-05-23,AAHLN,16.49,6
9:30p,497056684,238655,2025-05-23,AAHLN,16.49,8
10:45p,497943554,238655,2025-05-23,AAHLN,16.49,7
10:20a,497056681,238655,2025-05-23,AAHLN,12.31,12
3:45p,493239349,239571,2025-05-23,AAHLN,11.10,14
6:45p,493239348,239571,2025-05-23,AAHLN,14.84,14
4:00p,498115026,238603,2025-05-23,AATLB,11.43,6
6:50p,498115027,238603,2025-05-23,AATLB,11.43,6
9:40p,498115028,238603,2025-05-23,AATLB,11.43,6
12:00p,496795541,238655,2025-05-23,AATLB, 8.60,10
2:15p,497011351,238655,2025-05-23,AATLB, 8.60,7
3:45p,496795542,238655,2025-05-23,AATLB, 8.60,10
6:00p,497011350,238655,2025-05-23,AATLB,11.43,7
7:30p,496795543,238655,2025-05-23,AATLB,11.43,10
9:45p,496795540,238655,2025-05-23,AATLB,11.43,7
5:05p,499013233,239571,2025-05-23,AATLB,11.43,3
8:00p,499013232,239571,2025-05-23,AATLB,11.43,3
10:45a,497958422,238603,2025-05-23,AAQNJ,12.03,10
1:30p,497958423,238603,2025-05-23,AAQNJ,12.03,10
4:15p,497958424,238603,2025-05-23,AAQNJ,14.77,10
7:00p,497958425,238603,2025-05-23,AAQNJ,14.77,10
10:30p,497958430,238603,2025-05-23,AAQNJ,14.77,12
9:45p,497958421,238603,2025-05-23,AAQNJ,10.94,10
5:00p,497958428,238603,2025-05-23,AAQNJ,10.94,12
10:00a,497958420,238603,2025-05-23,AAQNJ, 8.20,1
11:30a,497958426,238603,2025-05-23,AAQNJ, 8.20,12
12:45p,497958419,238603,2025-05-23,AAQNJ, 8.20,1
2:15p,497958427,238603,2025-05-23,AAQNJ, 8.20,12
3:45p,497958418,238603,2025-05-23,AAQNJ, 8.20,1
6:30p,497958416,238603,2025-05-23,AAQNJ,10.94,1
7:45p,497958429,238603,2025-05-23,AAQNJ,10.94,12
9:15p,497958417,238603,2025-05-23,AAQNJ,10.94,1
6:15p,496840253,238655,2025-05-23,AAQNJ,10.94,6
11:15a,496840256,238655,2025-05-23,AAQNJ, 8.20,11
1:15p,496840250,238655,2025-05-23,AAQNJ, 8.20,2
3:00p,496840255,238655,2025-05-23,AAQNJ, 8.20,11
5:00p,496840251,238655,2025-05-23,AAQNJ,10.94,2
7:30p,496840257,238655,2025-05-23,AAQNJ,10.94,9
